,City,Country,Latitude,Longitude,Annual_Sunlight_Hours,Daily_Peak_Sun_Hours,GHI_kWh_per_m2,Electricity_Price_USD_per_kWh,Solar_Installations_Count,Avg_System_Cost_USD,Avg_Annual_Production_kWh,Estimated_Annual_Savings_USD,Payback_Period_Years,ROI_Percentage,CO2_Reduction_Tons_per_Year,Solar_Viability_Score,Region,GHI_Efficiency_Ratio,Peak_Hour_Concentration,Effective_Daily_kWh,Abs_Latitude,Hemisphere,Cost_per_kWh_Produced,Savings_Yield_Pct,Savings_per_CO2_Ton,Payback_Tier,ROI_Band,Log_Installations,Viability_Tier,CO2_per_MWh,Region_Encoded,Hemisphere_Encoded,GHI_kWh_per_m2_Scaled,Annual_Sunlight_Hours_Scaled,ROI_Percentage_Scaled,Payback_Period_Years_Scaled,Solar_Viability_Score_Scaled,Log_Installations_Scaled
10,Lyon,France,45.76,4.84,2100,5.8,3.9,0.15,4200,15000,9450,1417.5,10.6,9.4,3.78,49,Europe,1.8571428571428572,1.0080952380952382,25.89041095890411,45.76,Northern,1.5873015873015872,9.45,375.0,Slow (10-13yr),Medium (8-11%),8.343077871169383,Developing (45-55),0.4,2,0,-0.6376376140669159,-0.5401169823320217,-0.5582050056787692,0.33250694471851444,-0.5660285765882878,-0.22704823107335612
11,Rome,Italy,41.9,12.5,2500,6.8,4.7,0.15,7200,15000,11250,1687.5,8.9,11.2,4.5,57,Europe,1.8800000000000001,0.9928,30.82191780821918,41.9,Northern,1.3333333333333333,11.25,375.0,Moderate (7-10yr),High (11-14%),8.881975184248867,Established (55-65),0.4,2,0,0.17045757999808658,0.15354496153251418,0.12881653977202223,-0.35788915423901174,0.2572857166310399,0.049631561590590616
12,Milan,Italy,45.46,9.19,2000,5.5,3.8,0.15,7200,15000,9000,1350.0,11.1,9.0,3.6,48,Europe,1.9,1.0037500000000001,24.65753424657534,45.46,Northern,1.6666666666666667,9.0,375.0,Slow (10-13yr),Medium (8-11%),8.881975184248867,Developing (45-55),0.4,2,0,-0.7386495133250413,-0.7135324682981556,-0.7108764602233897,0.5355646208824929,-0.6689428632407037,0.049631561590590616
13,Madrid,Spain,40.42,-3.7,2900,7.9,5.3,0.15,5800,15000,13050,1957.5,7.7,13.0,5.22,62,Europe,1.8275862068965518,0.9943103448275863,35.75342465753425,40.42,Northern,1.1494252873563218,13.05,375.0,Moderate (7-10yr),High (11-14%),8.665785595466064,Established (55-65),0.39999999999999997,2,0,0.7765289755468379,0.84720690539705,0.8158380852228143,-0.8452275770325599,0.7718571498931197,-0.061364149742094434
14,Barcelona,Spain,41.39,2.16,2700,7.4,5.0,0.15,5800,15000,12150,1822.5,8.2,12.2,4.86,60,Europe,1.8518518518518519,1.0003703703703704,33.28767123287671,41.39,Northern,1.2345679012345678,12.15,375.0,Moderate (7-10yr),High (11-14%),8.665785595466064,Established (55-65),0.4,2,0,0.47349327777246225,0.5003759334647822,0.5104951761335732,-0.6421699008685819,0.5660285765882878,-0.061364149742094434
15,Toronto,Canada,43.65,-79.38,2100,5.8,3.8,0.15,3500,15000,9450,1417.5,10.6,9.4,3.78,49,North America,1.8095238095238095,1.0080952380952382,25.89041095890411,43.65,Northern,1.5873015873015872,9.45,375.0,Slow (10-13yr),Medium (8-11%),8.160803920954665,Developing (45-55),0.4,4,0,-0.7386495133250413,-0.5401169823320217,-0.5582050056787692,0.33250694471851444,-0.5660285765882878,-0.32063102974284646
16,Vancouver,Canada,49.28,-123.12,1850,5.1,3.5,0.15,3500,15000,8325,1248.75,12.0,8.3,3.33,45,North America,1.8918918918918919,1.0062162162162163,22.80821917808219,49.28,Northern,1.8018018018018018,8.325000000000001,375.0,Slow (10-13yr),Medium (8-11%),8.160803920954665,Low (≤45),0.4,4,0,-1.0416852110994168,-0.9736556972473566,-0.9780515056764751,0.9010684379776541,-0.9776857231979516,-0.32063102974284646
17,Sydney,Australia,-33.87,151.21,2800,7.7,5.2,0.15,8900,15000,12600,1890.0,7.9,12.7,5.04,61,Oceania,1.8571428571428572,1.0037500000000001,34.52054794520548,33.87,Southern,1.1904761904761905,12.6,375.0,Moderate (7-10yr),High (11-14%),9.093918908958932,Established (55-65),0.4,5,1,0.6755170762887129,0.673791419430916,0.7013344943143488,-0.7640045065669685,0.6689428632407037,0.15844736821265107
18,Melbourne,Australia,-37.81,144.96,2400,6.6,4.6,0.15,8900,15000,10800,1620.0,9.3,10.8,4.32,56,Oceania,1.9166666666666665,1.00375,29.589041095890412,37.81,Southern,1.3888888888888888,10.8,375.0,Moderate (7-10yr),Medium (8-11%),9.093918908958932,Established (55-65),0.4,5,1,0.06944568073996077,-0.01987052443361978,-0.023854914772597616,-0.1954430133078289,0.15437142997862394,0.15844736821265107
19,Brisbane,Australia,-27.47,153.03,2900,7.9,5.4,0.15,8900,15000,13050,1957.5,7.7,13.0,5.22,63,Oceania,1.8620689655172415,0.9943103448275863,35.75342465753425,27.47,Southern,1.1494252873563218,13.05,375.0,Moderate (7-10yr),High (11-14%),9.093918908958932,Established (55-65),0.39999999999999997,5,1,0.8775408748049637,0.84720690539705,0.8158380852228143,-0.8452275770325599,0.8747714365455356,0.15844736821265107
20,Tokyo,Japan,35.68,139.69,1900,5.2,3.8,0.15,12000,15000,8550,1282.5,11.7,8.5,3.42,47,Asia,2.0,0.9989473684210526,23.424657534246574,35.68,Northern,1.7543859649122806,8.55,375.0,Slow (10-13yr),Medium (8-11%),9.392745258631441,Developing (45-55),0.39999999999999997,1,0,-0.7386495133250413,-0.8869479542642896,-0.9017157784041652,0.7792338322792668,-0.7718571498931197,0.31187031255329073
21,Osaka,Japan,34.69,135.5,2000,5.5,3.9,0.15,12000,15000,9000,1350.0,11.1,9.0,3.6,49,Asia,1.95,1.0037500000000001,24.65753424657534,34.69,Northern,1.6666666666666667,9.0,375.0,Slow (10-13yr),Medium (8-11%),9.392745258631441,Developing (45-55),0.4,1,0,-0.6376376140669159,-0.7135324682981556,-0.7108764602233897,0.5355646208824929,-0.5660285765882878,0.31187031255329073
22,Beijing,China,39.9,116.4,2700,7.4,4.8,0.15,609000,15000,12150,1822.5,8.2,12.2,4.86,58,Asia,1.7777777777777777,1.0003703703703704,33.28767123287671,39.9,Northern,1.2345679012345678,12.15,375.0,Moderate (7-10yr),High (11-14%),13.31957518872681,Established (55-65),0.4,1,0,0.2714694792562115,0.5003759334647822,0.5104951761335732,-0.6421699008685819,0.36020000328345586,2.327977026236456
23,Shanghai,China,31.23,121.47,2200,6.0,4.3,0.15,609000,15000,9900,1485.0,10.1,9.9,3.96,53,Asia,1.9545454545454544,0.9954545454545455,27.123287671232877,31.23,Northern,1.5151515151515151,9.9,375.0,Slow (10-13yr),Medium (8-11%),13.31957518872681,Developing (45-55),0.39999999999999997,1,0,-0.23359001703441487,-0.3667014963658877,-0.36736568749799364,0.1294492685545361,-0.15437142997862394,2.327977026236456
24,Delhi,India,28.61,77.21,2900,7.9,5.5,0.15,73000,15000,13050,1957.5,7.7,13.0,5.22,64,Asia,1.896551724137931,0.9943103448275863,35.75342465753425,28.61,Northern,1.1494252873563218,13.05,375.0,Moderate (7-10yr),High (11-14%),11.19822841866684,Established (55-65),0.39999999999999997,1,0,0.9785527740630886,0.84720690539705,0.8158380852228143,-0.8452275770325599,0.9776857231979516,1.2388385758060003
25,Mumbai,India,19.08,72.88,2800,7.7,5.2,0.15,73000,15000,12600,1890.0,7.9,12.7,5.04,61,Asia,1.8571428571428572,1.0037500000000001,34.52054794520548,19.08,Northern,1.1904761904761905,12.6,375.0,Moderate (7-10yr),High (11-14%),11.19822841866684,Established (55-65),0.4,1,0,0.6755170762887129,0.673791419430916,0.7013344943143488,-0.7640045065669685,0.6689428632407037,1.2388385758060003
26,Bangalore,India,12.97,77.59,2700,7.4,5.3,0.15,73000,15000,12150,1822.5,8.2,12.2,4.86,62,Asia,1.9629629629629628,1.0003703703703704,33.28767123287671,12.97,Northern,1.2345679012345678,12.15,375.0,Moderate (7-10yr),High (11-14%),11.19822841866684,Established (55-65),0.4,1,0,0.7765289755468379,0.5003759334647822,0.5104951761335732,-0.6421699008685819,0.7718571498931197,1.2388385758060003
27,São Paulo,Brazil,-23.55,-46.63,2200,6.0,4.6,0.15,4800,15000,9900,1485.0,10.1,9.9,3.96,54,South America,2.090909090909091,0.9954545454545455,27.123287671232877,23.55,Southern,1.5151515151515151,9.9,375.0,Slow (10-13yr),Medium (8-11%),8.476579508530941,Developing (45-55),0.39999999999999997,6,1,0.06944568073996077,-0.3667014963658877,-0.36736568749799364,0.1294492685545361,-0.051457143326207974,-0.15850603490908383
28,Rio de Janeiro,Brazil,-22.91,-43.17,2400,6.6,4.9,0.15,4800,15000,10800,1620.0,9.3,10.8,4.32,57,South America,2.041666666666667,1.00375,29.589041095890412,22.91,Southern,1.3888888888888888,10.8,375.0,Moderate (7-10yr),Medium (8-11%),8.476579508530941,Established (55-65),0.4,6,1,0.3724813785143373,-0.01987052443361978,-0.023854914772597616,-0.1954430133078289,0.2572857166310399,-0.15850603490908383
29,Johannesburg,South Africa,-26.2,28.05,3100,8.5,5.7,0.15,1600,15000,13950,2092.5,7.2,13.9,5.58,66,Africa,1.838709677419355,1.0008064516129032,38.21917808219178,26.2,Southern,1.075268817204301,13.950000000000001,375.0,Moderate (7-10yr),High (11-14%),7.3783837129967145,Premium (>65),0.4,0,1,1.1805765725793393,1.1940378773293179,1.1593488579482103,-1.0482852531965383,1.1835142965027834,-0.7223399558401606
30,Cape Town,South Africa,-33.92,18.42,3000,8.2,5.6,0.15,1600,15000,13500,2025.0,7.4,13.5,5.4,65,Africa,1.8666666666666667,0.9976666666666665,36.986301369863014,33.92,Southern,1.1111111111111112,13.5,375.0,Moderate (7-10yr),High (11-14%),7.3783837129967145,Established (55-65),0.4,0,1,1.0795646733212134,1.020622391363184,1.00667740340359,-0.9670621827309469,1.0806000098503674,-0.7223399558401606
31,Mexico City,Mexico,19.43,-99.13,2600,7.1,5.0,0.15,1200,15000,11700,1755.0,8.5,11.8,4.68,59,North America,1.9230769230769231,0.9967307692307692,32.054794520547944,19.43,Northern,1.2820512820512822,11.700000000000001,375.0,Moderate (7-10yr),High (11-14%),7.0909098220799835,Established (55-65),0.4,4,0,0.47349327777246225,0.32696044749864817,0.35782372158895337,-0.5203352951701946,0.4631142899358718,-0.8699343390457931
32,Amsterdam,Netherlands,52.37,4.89,1600,4.4,3.1,0.15,4800,15000,7200,1080.0,13.9,7.2,2.88,39,Europe,1.9375,1.0037500000000001,19.726027397260275,52.37,Northern,2.0833333333333335,7.199999999999999,375.0,Very Slow (>13yr),Low (<8%),8.476579508530941,Low (≤45),0.39999999999999997,2,0,-1.4457328081319178,-1.4071944121626914,-1.3978980056741814,1.6726876074007722,-1.5951714431124473,-0.15850603490908383
33,Brussels,Belgium,50.85,4.35,1550,4.2,3.0,0.15,2100,15000,6975,1046.25,14.3,7.0,2.79,38,Europe,1.935483870967742,0.9890322580645161,19.10958904109589,50.85,Northern,2.150537634408602,6.9750000000000005,375.0,Very Slow (>13yr),Low (<8%),7.650168700845001,Low (≤45),0.4,2,0,-1.5467447073900433,-1.4939021551457585,-1.4742337329464916,1.835133748331955,-1.6980857297648633,-0.5828005440414126
34,Stockholm,Sweden,59.33,18.07,1800,4.9,3.2,0.15,1900,15000,8100,1215.0,12.3,8.1,3.24,42,Europe,1.777777777777778,0.9936111111111111,22.19178082191781,59.33,Northern,1.8518518518518519,8.1,375.0,Slow (10-13yr),Medium (8-11%),7.550135342488429,Low (≤45),0.4,2,0,-1.3447209088737926,-1.0603634402304236,-1.0543872329487858,1.0229030436760413,-1.2864285831551994,-0.6341595101706282
35,Oslo,Norway,59.91,10.75,1650,4.5,2.9,0.15,500,15000,7425,1113.75,13.5,7.4,2.97,39,Europe,1.7575757575757576,0.9954545454545454,20.34246575342466,59.91,Northern,2.0202020202020203,7.425,375.0,Very Slow (>13yr),Low (<8%),6.2166061010848646,Low (≤45),0.4,2,0,-1.6477566066481686,-1.3204866691796244,-1.3215622784018712,1.5102414664695893,-1.5951714431124473,-1.318817950782353
36,Copenhagen,Denmark,55.68,12.57,1700,4.7,3.1,0.15,1100,15000,7650,1147.5,13.1,7.6,3.06,41,Europe,1.8235294117647058,1.0091176470588237,20.958904109589042,55.68,Northern,1.9607843137254901,7.6499999999999995,375.0,Very Slow (>13yr),Low (<8%),7.00397413672268,Low (≤45),0.39999999999999997,2,0,-1.4457328081319178,-1.2337789261965575,-1.2452265511295613,1.3477953255384063,-1.3893428698076153,-0.9145687189470512
37,Athens,Greece,37.98,23.73,2900,7.9,5.4,0.15,2800,15000,13050,1957.5,7.7,13.0,5.22,63,Europe,1.8620689655172415,0.9943103448275863,35.75342465753425,37.98,Northern,1.1494252873563218,13.05,375.0,Moderate (7-10yr),High (11-14%),7.937731775260109,Established (55-65),0.39999999999999997,2,0,0.8775408748049637,0.84720690539705,0.8158380852228143,-0.8452275770325599,0.8747714365455356,-0.43516037238732946
38,Dubai,UAE,25.2,55.27,3500,9.6,6.2,0.15,850,15000,15750,2362.5,6.3,15.9,6.3,70,Asia,1.7714285714285716,1.0011428571428571,43.15068493150685,25.2,Northern,0.9523809523809523,15.75,375.0,Fast (<7yr),Premium (>14%),6.7464121285733745,Premium (>65),0.39999999999999997,1,0,1.6856360688699656,1.8876998211938538,1.9227061306713125,-1.4137890702916995,1.5951714431124473,-1.046805791360045
39,Singapore,Singapore,1.35,103.82,2400,6.6,4.5,0.15,150,15000,10800,1620.0,9.3,10.8,4.32,55,Asia,1.875,1.00375,29.589041095890412,1.35,Northern,1.3888888888888888,10.8,375.0,Moderate (7-10yr),Medium (8-11%),5.017279836814924,Developing (45-55),0.4,1,0,-0.03156621851816415,-0.01987052443361978,-0.023854914772597616,-0.1954430133078289,0.051457143326207974,-1.9345741144908362
40,Bangkok,Thailand,13.76,100.5,2600,7.1,5.1,0.15,2100,15000,11700,1755.0,8.5,11.8,4.68,60,Asia,1.9615384615384617,0.9967307692307692,32.054794520547944,13.76,Northern,1.2820512820512822,11.700000000000001,375.0,Moderate (7-10yr),High (11-14%),7.650168700845001,Established (55-65),0.4,1,0,0.5745051770305871,0.32696044749864817,0.35782372158895337,-0.5203352951701946,0.5660285765882878,-0.5828005440414126
41,Seoul,South Korea,37.57,126.98,2200,6.0,4.1,0.15,4200,15000,9900,1485.0,10.1,9.9,3.96,51,Asia,1.8636363636363635,0.9954545454545455,27.123287671232877,37.57,Northern,1.5151515151515151,9.9,375.0,Slow (10-13yr),Medium (8-11%),8.343077871169383,Developing (45-55),0.39999999999999997,1,0,-0.4356138155506656,-0.3667014963658877,-0.36736568749799364,0.1294492685545361,-0.36020000328345586,-0.22704823107335612
42,Kuala Lumpur,Malaysia,3.14,101.69,2500,6.8,4.8,0.15,800,15000,11250,1687.5,8.9,11.2,4.5,57,Asia,1.92,0.9928,30.82191780821918,3.14,Northern,1.3333333333333333,11.25,375.0,Moderate (7-10yr),High (11-14%),6.68586094706836,Established (55-65),0.4,1,0,0.2714694792562115,0.15354496153251418,0.12881653977202223,-0.35788915423901174,0.2572857166310399,-1.0778938816840238
43,Santiago,Chile,-33.45,-70.67,2800,7.7,5.5,0.15,1800,15000,12600,1890.0,7.9,12.7,5.04,63,South America,1.9642857142857144,1.0037500000000001,34.52054794520548,33.45,Southern,1.1904761904761905,12.6,375.0,Moderate (7-10yr),High (11-14%),7.496097345175956,Established (55-65),0.4,6,1,0.9785527740630886,0.673791419430916,0.7013344943143488,-0.7640045065669685,0.8747714365455356,-0.6619036119308547
44,Buenos Aires,Argentina,-34.6,-58.38,2500,6.8,4.8,0.15,450,15000,11250,1687.5,8.9,11.2,4.5,57,South America,1.92,0.9928,30.82191780821918,34.6,Southern,1.3333333333333333,11.25,375.0,Moderate (7-10yr),High (11-14%),6.111467339502679,Established (55-65),0.4,6,1,0.2714694792562115,0.15354496153251418,0.12881653977202223,-0.35788915423901174,0.2572857166310399,-1.3727981248330867
45,Lima,Peru,-12.05,-77.04,1800,4.9,4.2,0.15,320,15000,8100,1215.0,12.3,8.1,3.24,49,South America,2.3333333333333335,0.9936111111111111,22.19178082191781,12.05,Southern,1.8518518518518519,8.1,375.0,Slow (10-13yr),Medium (8-11%),5.771441123130016,Developing (45-55),0.4,6,1,-0.33460191629253977,-1.0603634402304236,-1.0543872329487858,1.0229030436760413,-0.5660285765882878,-1.5473738385413096
46,Cairo,Egypt,30.04,31.24,3400,9.3,6.0,0.15,650,15000,15300,2295.0,6.5,15.4,6.12,68,Africa,1.7647058823529413,0.9983823529411766,41.917808219178085,30.04,Northern,0.9803921568627451,15.299999999999999,375.0,Fast (<7yr),Premium (>14%),6.478509642208569,Premium (>65),0.39999999999999997,0,0,1.483612270353715,1.7142843352277197,1.731866812490537,-1.3325659998261081,1.3893428698076153,-1.1843518554849508
47,Tel Aviv,Israel,32.09,34.78,3200,8.8,5.9,0.15,920,15000,14400,2160.0,6.9,14.5,5.76,67,Middle East,1.8437500000000002,1.0037500000000001,39.45205479452055,32.09,Northern,1.0416666666666667,14.399999999999999,375.0,Fast (<7yr),Premium (>14%),6.825460036255307,Premium (>65),0.39999999999999997,3,0,1.38260037109559,1.367453363295452,1.3883560397651409,-1.1701198588949253,1.2864285831551994,-1.006221141600008
